Date,Open,High,Low,Close,Volume,cnbc_data,fortune_data,reuters_data,wsj_data
20171207,2628.379883,2640.98999,2626.530029,2636.97998,3292400000,-0.1366,0,0,0.296
20171208,2646.209961,2651.649902,2644.100098,2651.5,3106150000,0,-0.2423,0,0
20171211,2652.189941,2660.330078,2651.469971,2659.98999,3091950000,0,0,0,0
20171212,2661.72998,2669.719971,2659.780029,2664.110107,3555680000,0,0,0,0
20171213,2667.590088,2671.879883,2662.850098,2662.850098,3542370000,0,0,0,0
20171214,2665.870117,2668.090088,2652.01001,2652.01001,3430030000,0,0,0,-0.172533333
20171215,2660.629883,2679.629883,2659.139893,2675.810059,5723920000,0,0,0,-0.1806
20171218,2685.919922,2694.969971,2685.919922,2690.159912,3724660000,0,0,0,0
20171219,2692.709961,2694.439941,2680.73999,2681.469971,3368590000,0,0,0,0
20171220,2688.179932,2691.01001,2676.110107,2679.25,3241030000,0,0,0,0
20171221,2683.02002,2692.639893,2682.399902,2684.570068,3273390000,0.296,0,0,0.067433333
20171222,2684.219971,2685.350098,2678.129883,2683.340088,2399830000,0,0,0,0
20171226,2679.090088,2682.73999,2677.959961,2680.5,1968780000,-0.074766667,0,0.4019,0
20171227,2682.100098,2685.639893,2678.909912,2682.620117,2202080000,0.1108,0,0,0.34
20171228,2686.100098,2687.659912,2682.689941,2687.540039,2153330000,0,-0.4767,0,0
20171229,2689.149902,2692.120117,2673.610107,2673.610107,2443490000,0.150366667,0,0,0
20180102,2683.72998,2695.889893,2682.360107,2695.810059,3367250000,0.076186372,-0.0653,-0.033895897,0.025324
20180103,2697.850098,2714.370117,2697.77002,2713.060059,3538660000,0.06871131,0.011434783,0.00810551,0.038129134
20180104,2719.310059,2729.290039,2719.070068,2723.98999,3695260000,0.083071983,-0.076933333,-0.011256313,-0.025823776
20180105,2731.330078,2743.449951,2727.919922,2743.149902,3236620000,0.06152575,0.000582927,0.019690888,-0.000632414
20180108,2742.669922,2748.51001,2737.600098,2747.709961,3242650000,0.083550503,-0.02334902,0.057148225,0.037838211
20180109,2751.149902,2759.139893,2747.860107,2751.290039,3453480000,0.054645198,0.028240351,0.029999833,-0.002558571
20180110,2745.550049,2750.800049,2736.060059,2748.22998,3576350000,0.052081558,0.070267442,0.038604339,0.042846
20180111,2752.969971,2767.560059,2752.780029,2767.560059,3641320000,0.075256332,-0.042692453,0.020618624,0.014703676
20180112,2770.179932,2787.850098,2769.639893,2786.23999,3573970000,0.08517568,-0.041702273,0.041592259,0.012318713
20180116,2798.959961,2807.540039,2768.639893,2776.419922,4325970000,0.070238865,-0.046880556,0.026217161,-0.008468468
20180117,2784.98999,2807.040039,2778.379883,2802.560059,3778050000,0.09279884,-0.030629508,0.020968817,-0.022473913
20180118,2802.399902,2805.830078,2792.560059,2798.030029,3681470000,0.071475095,0.081360417,0.045276,0.040940127
20180119,2802.600098,2810.330078,2798.080078,2810.300049,3639430000,0.065988871,0.032235185,0.04613579,-0.028254667
20180122,2809.159912,2833.030029,2808.120117,2832.969971,3471780000,0.054583756,0.0362,0.043832829,-0.009804237
20180123,2835.050049,2842.23999,2830.590088,2839.129883,3519650000,0.086015974,0.017955769,0.052133063,0.000848026
20180124,2845.419922,2852.969971,2824.810059,2837.540039,4014070000,0.097690304,0.059260465,0.056426087,-0.050105625
20180125,2846.23999,2848.560059,2830.939941,2839.25,3835150000,0.086756923,-0.04199,0.037767264,0.019749153
20180126,2847.47998,2872.870117,2846.179932,2872.870117,3443230000,0.069941915,0.037142424,0.03691916,-0.06805
20180129,2867.22998,2870.620117,2851.47998,2853.530029,3573830000,0.079953626,0.059267568,0.069517113,-0.029421277
20180130,2832.73999,2837.75,2818.27002,2822.429932,3990650000,0.077099766,0.025,0.067526281,0.002312121
